"Source:","/Users/gwyllymsuter/Documents/Ole electronics stuff /EDUC-8 KiCAD/EDUC_8 Main computer/motherboard/motherboard.sch"
"Date:","Monday, 04 April 2022 at 01:19:06 pm"
"Tool:","Eeschema (6.0.4-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","40"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","100nF","Device:C","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","~"
"","","C2","100nF","Device:C","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","~"
"","","C3","100nF","Device:C","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","~"
"","","H1","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~"
"","","H2","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~"
"","","H3","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~"
"","","H4","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~"
"","","H5","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~"
"","","H6","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~"
"","","J5","36-way-edge-connector","motherboard-rescue:36-way-edge-connector-Educ-8-connectors-motherboard-rescue","EDUC-8:36_way_3.96mm_card_edge_socket",""
"","","J6","36-way-edge-connector","motherboard-rescue:36-way-edge-connector-Educ-8-connectors-motherboard-rescue","EDUC-8:36_way_3.96mm_card_edge_socket",""
"","","J7","36-way-edge-connector","motherboard-rescue:36-way-edge-connector-Educ-8-connectors-motherboard-rescue","EDUC-8:36_way_3.96mm_card_edge_socket",""
"","","J8","36-way-edge-connector","motherboard-rescue:36-way-edge-connector-Educ-8-connectors-motherboard-rescue","EDUC-8:36_way_3.96mm_card_edge_socket",""
"","","J9","36-way-edge-connector","motherboard-rescue:36-way-edge-connector-Educ-8-connectors-motherboard-rescue","EDUC-8:36_way_3.96mm_card_edge_socket",""
"","","J10","36-way-edge-connector","motherboard-rescue:36-way-edge-connector-Educ-8-connectors-motherboard-rescue","EDUC-8:36_way_3.96mm_card_edge_socket",""
"","","J11","36-way-edge-connector","motherboard-rescue:36-way-edge-connector-Educ-8-connectors-motherboard-rescue","EDUC-8:36_way_3.96mm_card_edge_socket",""
"","","J12","Conn_01x08_Female","Connector:Conn_01x08_Female","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~"
"","","J13","Conn_01x08_Female","Connector:Conn_01x08_Female","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~"
"","","J14","Conn_01x16_Female","Connector:Conn_01x16_Female","Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical","~"
"","","J15","Conn_01x04_Female","Connector:Conn_01x04_Female","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"","","J16","Conn_01x04_Female","Connector:Conn_01x04_Female","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"","","J17","Conn_01x01_Female","Connector:Conn_01x01_Female","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"","","J18","Conn_01x04_Female","Connector:Conn_01x04_Female","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"","","J19","Conn_01x08_Female","Connector:Conn_01x08_Female","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~"
"","","J20","Conn_01x04_Female","Connector:Conn_01x04_Female","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"","","J21","Conn_01x04_Female","Connector:Conn_01x04_Female","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"","","J22","Conn_01x04_Female","Connector:Conn_01x04_Female","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"","","J23","Conn_01x04_Female","Connector:Conn_01x04_Female","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"","","J24","Conn_01x04_Female","Connector:Conn_01x04_Female","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"","","J25","Conn_01x04_Female","Connector:Conn_01x04_Female","Connector_Molex:Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical","~"
"","","J26","Conn_01x04_Female","Connector:Conn_01x04_Female","Connector_Molex:Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical","~"
"","","J27","Conn_01x04_Female","Connector:Conn_01x04_Female","Connector_Molex:Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical","~"
"","","J28","Conn_01x04_Female","Connector:Conn_01x04_Female","Connector_Molex:Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical","~"
"","","J29","Conn_01x01_Female","Connector:Conn_01x01_Female","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"","","J30","Conn_01x01_Female","Connector:Conn_01x01_Female","Connector_Pin:Pin_D1.2mm_L10.2mm_W2.9mm_FlatFork","~"
"","","J31","Conn_01x01_Female","Connector:Conn_01x01_Female","Connector_Pin:Pin_D1.2mm_L10.2mm_W2.9mm_FlatFork","~"
"","","R1","470R","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R2","470R","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R3","680R","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R4","R","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","3","C1, C2, C3","100nF","Device:C","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","~"
"2","6","H1, H2, H3, H4, H5, H6","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~"
"3","7","J5, J6, J7, J8, J9, J10, J11","36-way-edge-connector","motherboard-rescue:36-way-edge-connector-Educ-8-connectors-motherboard-rescue","EDUC-8:36_way_3.96mm_card_edge_socket",""
"4","3","J12, J13, J19","Conn_01x08_Female","Connector:Conn_01x08_Female","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~"
"5","1","J14","Conn_01x16_Female","Connector:Conn_01x16_Female","Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical","~"
"6","8","J15, J16, J18, J20, J21, J22, J23, J24","Conn_01x04_Female","Connector:Conn_01x04_Female","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"7","2","J17, J29","Conn_01x01_Female","Connector:Conn_01x01_Female","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"8","4","J25, J26, J27, J28","Conn_01x04_Female","Connector:Conn_01x04_Female","Connector_Molex:Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical","~"
"9","2","J30, J31","Conn_01x01_Female","Connector:Conn_01x01_Female","Connector_Pin:Pin_D1.2mm_L10.2mm_W2.9mm_FlatFork","~"
"10","2","R1, R2","470R","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"11","1","R3","680R","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"12","1","R4","R","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
